SKU,Title,Category,LocalPath,AssetKind,Width,Height,Bytes,SHA256,Validation
PK-MU-868,Nyx Full Throttle Lipstick,beauty-personal-care,wwwroot/images/products/pk-mu-868.webp,source-record-paired-photograph,600,600,16352,1ce3123dfe7ccb0b65f067cded67a4ed824eddc8352045579ccdff7b0ef586e8,valid
PK-MU-965,Nyx Gel Liner And Smudger,beauty-personal-care,wwwroot/images/products/pk-mu-965.webp,source-record-paired-photograph,600,600,6738,fad503a2c463e1e5035500c32ca3985d67924c658fced72ec6cabf1334a9c3d9,valid
PK-MU-942,Nyx Glam Liner Aqua Luxe Collection,beauty-personal-care,wwwroot/images/products/pk-mu-942.webp,source-record-paired-photograph,600,600,19222,5f395e9d42e3c878ad0d9e3b08de74f67c99daa5e57060c9ba23c21dd71f767f,valid
PK-MU-908,Nyx Gotcha Covered Concealer,beauty-personal-care,wwwroot/images/products/pk-mu-908.webp,source-record-paired-photograph,600,600,17860,2527f14d646300ff50d30e7da4ce7d24e933f3145c4ecfc10620fd170471ec64,valid
PK-MU-912,Nyx Gotcha Covered Concealer Pencil,beauty-personal-care,wwwroot/images/products/pk-mu-912.webp,source-record-paired-photograph,600,600,12128,bad7afd50b273ac754a5e75ee6e4d665031f7043601c6f149e7fade2fd9d877e,valid
PK-MU-905,Nyx HD Photogenic Concealer Wand,beauty-personal-care,wwwroot/images/products/pk-mu-905.webp,source-record-paired-photograph,600,600,11490,a9ac3778181cbbb79cabf28927ccc7b7f6676263db2ba5b1ff548f011fceeaf0,valid
PK-MU-897,Nyx HD Studio Photogenic Foundation,beauty-personal-care,wwwroot/images/products/pk-mu-897.webp,source-record-paired-photograph,600,600,5420,5b248dc326959a24ad1a99645ac2cbe115a48ee26edb9b728669ae31f05552c1,valid
PK-MU-916,Nyx High Definition Blush,beauty-personal-care,wwwroot/images/products/pk-mu-916.webp,source-record-paired-photograph,600,600,13962,014926cbb24979b351dd34c775410253e61cd645a4f0f12bb7da125d1f07d2bd,valid
PK-MU-922,Nyx High Definition Blush Pro Refills,beauty-personal-care,wwwroot/images/products/pk-mu-922.webp,source-record-paired-photograph,600,600,6422,6a100c56200f6b16c8c3363e027e958ab16ffaa3975748c5ad0cd046edcef901,valid
PK-MU-930,Nyx High Definition Finishing Powder,beauty-personal-care,wwwroot/images/products/pk-mu-930.webp,source-record-paired-photograph,600,600,9808,6bcb23952184bb76255362ac3bbd38173dde91107c3dace3c60f013a0db5aca9,valid
PK-MU-934,Nyx High Definition Finishing Powder Mini,beauty-personal-care,wwwroot/images/products/pk-mu-934.webp,source-record-paired-photograph,600,600,11252,f0dee5c48fa3d9c35e56e8ea47731ffc8716a27d5a98811dffc511c7bd199092,valid
